vendor,tool_version,flow_stage,artifact_path,artifact_type,artifact_role,protected_property,provenance_evidence,mapped_threat_ids
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\_all\1\report.syn.rdb",".rdb","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=A907E705EA3A2099E0FFD76F5E5E30C0748E65F23042FDDCDFC6747607A29BAB; mtime=2026-06-12T04:41:12.4211888Z; size=10160","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\final\1\.cache\timing_netlist.5_slow_900mv_0c.tdb",".tdb","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=0D3EBCBFA98B44D27843212C50BDB9FE205B8A15441F650B22CB9DADE335EC84; mtime=2026-06-12T04:42:11.7181415Z; size=13865","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\final\1\.cache\timing_netlist.5_slow_900mv_100c.tdb",".tdb","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=9AE36D110612456F2AA5B1A8A892696AE5E5CA5A7A63960345423C583F741EDB; mtime=2026-06-12T04:42:11.7181415Z; size=13678","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\final\1\.cache\timing_netlist.MIN_fast_900mv_0c.tdb",".tdb","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=2C8A34A29D3C567E5078B1730F721F5BB6B0F49F0CB5B700ABEFE0FBAC18BB99; mtime=2026-06-12T04:42:11.7181415Z; size=12760","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\final\1\.cache\timing_netlist.tdb",".tdb","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=0258C68740F8A6C112E847CF52EB4D8329F5FF984FF6716A5219A9A32D0ED2D4; mtime=2026-06-12T04:42:11.7181415Z; size=46049","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\final\1\chip.chip.cdb",".cdb","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=1930F28F6667BB8D82A2AA29BF71A9EAF35A64E8FF5180C9A65E411672D4B1F3; mtime=2026-06-12T04:42:11.8115587Z; size=62074","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\final\1\chip.model",".model","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=4DB4E520FAE666A9EA84DFD6FE68F01A3085AD4602A39205B9DC768378E42E89; mtime=2026-06-12T04:42:11.8275332Z; size=144","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\final\1\config.bcm.ddb",".ddb","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=539DE098FA9577573B7542F2230D29FA77D2B4B31E2957EE2FDCD837A68C4447; mtime=2026-06-12T04:42:11.8115587Z; size=65864","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\final\1\config.model",".model","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=4A4067CC3EA540F2E8CA3161BE502B324D1670D9836C0B5C0AF4BADA478F66B0; mtime=2026-06-12T04:42:11.8275332Z; size=143","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Constraint and Configuration",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\final\1\constraints.cdb",".cdb","Toolchain artifact","configuration integrity; design intent traceability","sha256=2845850C51846C140AC85CDCB2952469DC395E234036EC55D16EA8DCEF55A94D; mtime=2026-06-12T04:42:11.8115587Z; size=231","CFG-1;CFG-2;CFG-3"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Constraint and Configuration",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\final\1\constraints.model",".model","Toolchain artifact","configuration integrity; design intent traceability","sha256=7F0255A2FE1B1445042196657C10A3601D9D6CA2DB3A2002519FDC5DC8856D85; mtime=2026-06-12T04:42:11.8115587Z; size=146","CFG-1;CFG-2;CFG-3"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\final\1\idb.idb",".idb","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=6EE908BFC007C4B1EED61B46613BD5D4B33B569B7A0CDB6DBFB51A033A8A5054; mtime=2026-06-12T04:42:11.7960443Z; size=919","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\final\1\idb.model",".model","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=B0A3F2AB2CE3CF533845E0F44E158933CAFB3289724F9B5A80A48E311A58FE5E; mtime=2026-06-12T04:42:11.8115587Z; size=138","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\final\1\names.hdb",".hdb","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=4504875DEF7364A257E544FDCB77144250556FAB2B3975ED48BF49B95078308B; mtime=2026-06-12T04:42:11.7960443Z; size=13375","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\final\1\names.model",".model","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=D3C40D4DFF9FA7C3E9108DE49CB33C4E759D936C3E653455D17A1697FE28B476; mtime=2026-06-12T04:42:11.7960443Z; size=143","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\final\1\state.meta",".meta","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=927285725F488F40F3884C53DD033E85802F978FCEBFB2EF6DDA3B4FFEFE9B03; mtime=2026-06-12T04:42:11.7807248Z; size=370","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\final\1\timing_netlist.5_slow_900mv_0c.model",".model","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=D9DE9B5C70B1133D5C663FD2A7846117650D444AD03572F9527FDB3F4BB91160; mtime=2026-06-12T04:42:11.7181415Z; size=140","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\final\1\timing_netlist.5_slow_900mv_100c.model",".model","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=32C55F66A276AE4922CEF8B2CA27AE177B70A07E90201A439109CDC2F2B57BC7; mtime=2026-06-12T04:42:11.7181415Z; size=140","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\final\1\timing_netlist.MIN_fast_900mv_0c.model",".model","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=1C44C88D31398F406F98C97F3760681D717C81C57F7FE890E85B458116A6C645; mtime=2026-06-12T04:42:11.7181415Z; size=140","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\final\1\timing_netlist.model",".model","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=F29A24893FC2579DE141425514B9B6D97F44BFE702D7F17F8B5818EBDBD07D37; mtime=2026-06-12T04:42:11.7181415Z; size=139","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\legacy\1\da_report_quartus_syn_partitioned.sqlite3",".sqlite3","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=C22B249DDD3DBA10ED06EF1D2D41A54494EEF513954B65BF90929D3451A5A29F; mtime=2026-06-12T04:41:05.2023566Z; size=49152","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\legacy\1\runlog.db",".db","Tool database","transformation lineage; checkpoint integrity","sha256=67A7C2376CE232E0064DF7256EAE3F944A528D0B73E5CA58E17FED90D77A7350; mtime=2026-06-12T04:42:23.4058739Z; size=8192","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\legacy\1\top_b.asm.qmsgdb",".qmsgdb","Quartus message database","transformation lineage; checkpoint integrity","sha256=2D1C147AD25ED504D5FC4E430E05BFFDB58D3CB28D88C2C23DD840FDAFE1CCE7; mtime=2026-06-12T04:42:22.7960069Z; size=28672","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\legacy\1\top_b.db_info",".db_info","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=446536E7342BBBF6B89F5CF54AEA96E614B1D58BB401542386A897A30AB1706A; mtime=2026-06-12T04:40:59.0929855Z; size=162","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\legacy\1\top_b.fit.finalize.header.qmsgdb",".qmsgdb","Quartus message database","transformation lineage; checkpoint integrity","sha256=9CA0D01DE6DA9A81B563429E36DDD8C79E85D7C6AB1FE3D30012E65C74349799; mtime=2026-06-12T04:42:02.6330159Z; size=20480","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\legacy\1\top_b.fit.finalize.qmsgdb",".qmsgdb","Quartus message database","transformation lineage; checkpoint integrity","sha256=3AA0C7BC864D2C1F6C8AD34D011E67480DCA76173D2EB73F87487A7671A621DA; mtime=2026-06-12T04:42:12.1554164Z; size=20480","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\legacy\1\top_b.fit.place.header.qmsgdb",".qmsgdb","Quartus message database","transformation lineage; checkpoint integrity","sha256=9CA0D01DE6DA9A81B563429E36DDD8C79E85D7C6AB1FE3D30012E65C74349799; mtime=2026-06-12T04:41:26.9839470Z; size=20480","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\legacy\1\top_b.fit.place.qmsgdb",".qmsgdb","Quartus message database","transformation lineage; checkpoint integrity","sha256=547AD75E4F2F8D5A816F3DC5EBDDA5D110114A429BC12C6AACB5E9D6403EC527; mtime=2026-06-12T04:41:48.0657954Z; size=28672","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\legacy\1\top_b.fit.plan.qmsgdb",".qmsgdb","Quartus message database","transformation lineage; checkpoint integrity","sha256=4E4DE030210F908AEF2CC1922932D4672BFA7E6129547A7AC2F00D17DCCEAD50; mtime=2026-06-12T04:41:26.9991108Z; size=45056","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\legacy\1\top_b.fit.qmsgdb",".qmsgdb","Quartus message database","transformation lineage; checkpoint integrity","sha256=9CA0D01DE6DA9A81B563429E36DDD8C79E85D7C6AB1FE3D30012E65C74349799; mtime=2026-06-12T04:41:14.3428330Z; size=20480","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\legacy\1\top_b.fit.route.header.qmsgdb",".qmsgdb","Quartus message database","transformation lineage; checkpoint integrity","sha256=9CA0D01DE6DA9A81B563429E36DDD8C79E85D7C6AB1FE3D30012E65C74349799; mtime=2026-06-12T04:41:48.4909597Z; size=20480","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\legacy\1\top_b.fit.route.qmsgdb",".qmsgdb","Quartus message database","transformation lineage; checkpoint integrity","sha256=97B9DFE95D694A81EFE68C4134D80A3EED2DFD4752EE6469A2BD72EA077AF0CB; mtime=2026-06-12T04:42:02.4837008Z; size=20480","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\legacy\1\top_b.ipg.qmsgdb",".qmsgdb","Quartus message database","transformation lineage; checkpoint integrity","sha256=B01EBCD1726669BBC1C060B023A7A8FC9BDAA80D14458AB141E1AD642BB3FB9B; mtime=2026-06-12T04:41:01.5616076Z; size=28672","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\legacy\1\top_b.smp_dump.txt",".txt","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=F535576D7CD04653678289CFBABF04190EC03CAAD962B3EFA1C76CCB8BD9130B; mtime=2026-06-12T04:41:11.2335307Z; size=230","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\legacy\1\top_b.sta.qmsgdb",".qmsgdb","Quartus message database","transformation lineage; checkpoint integrity","sha256=45E08E852F9166A3828FEFC7E0C266F5A7BF0AC96F98FD7C51A90E40A3460B74; mtime=2026-06-12T04:42:18.4057050Z; size=45056","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\legacy\1\top_b.syn.ae.header.qmsgdb",".qmsgdb","Quartus message database","transformation lineage; checkpoint integrity","sha256=8332D0B46F713A0B3C60AF44030148D8EFDFCF719607EE1C1751D3F8C2D27938; mtime=2026-06-12T04:41:03.5460194Z; size=20480","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\legacy\1\top_b.syn.ae.qmsgdb",".qmsgdb","Quartus message database","transformation lineage; checkpoint integrity","sha256=E784E2EE2B42C76CE51C67150E20D0632AB17C0EF4D11DCF6BF0ED4B08677607; mtime=2026-06-12T04:41:05.2178601Z; size=20480","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\legacy\1\top_b.syn.ls.header.qmsgdb",".qmsgdb","Quartus message database","transformation lineage; checkpoint integrity","sha256=8332D0B46F713A0B3C60AF44030148D8EFDFCF719607EE1C1751D3F8C2D27938; mtime=2026-06-12T04:41:05.6242585Z; size=20480","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\legacy\1\top_b.syn.ls.qmsgdb",".qmsgdb","Quartus message database","transformation lineage; checkpoint integrity","sha256=17C10D99AD78E08E1C4A6854F930482E58C59E922D96E9281B9491AA5AB06DCA; mtime=2026-06-12T04:41:12.4684735Z; size=45056","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\legacy\1\top_b.syn.qmsgdb",".qmsgdb","Quartus message database","transformation lineage; checkpoint integrity","sha256=8332D0B46F713A0B3C60AF44030148D8EFDFCF719607EE1C1751D3F8C2D27938; mtime=2026-06-12T04:41:03.4210248Z; size=20480","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\partitioned\1\chip.chip.cdb",".cdb","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=E0BA031DDF6545C4C3CEA2A10DCFC37A503A7824FF783615B9CCFA01482C7BFA; mtime=2026-06-12T04:41:09.7648257Z; size=8372","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\partitioned\1\chip.model",".model","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=C90A10AE50AF273E425E56671DC766BB3EB7BC32EEEA3BA44FD2DF582F3FEAD7; mtime=2026-06-12T04:41:09.7648257Z; size=144","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Constraint and Configuration",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\partitioned\1\constraints.cdb",".cdb","Toolchain artifact","configuration integrity; design intent traceability","sha256=2845850C51846C140AC85CDCB2952469DC395E234036EC55D16EA8DCEF55A94D; mtime=2026-06-12T04:41:09.7492553Z; size=231","CFG-1;CFG-2;CFG-3"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Constraint and Configuration",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\partitioned\1\constraints.model",".model","Toolchain artifact","configuration integrity; design intent traceability","sha256=7F0255A2FE1B1445042196657C10A3601D9D6CA2DB3A2002519FDC5DC8856D85; mtime=2026-06-12T04:41:09.7648257Z; size=146","CFG-1;CFG-2;CFG-3"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\partitioned\1\mifs.model",".model","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=3216EF09AEECF8ED3AE06D959ED857E2C08525DF6D1988785BD3B33C5050E321; mtime=2026-06-12T04:41:12.0149218Z; size=113","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\partitioned\1\names.hdb",".hdb","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=16EF279D5E8ADFA15281B9C48472FC0664553D86C9DE65F00E14046792DA18E1; mtime=2026-06-12T04:41:09.7492553Z; size=12784","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\partitioned\1\names.model",".model","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=87CF4243808797909F3B2DC3B28DB032BE36D3D4E41DCE53C2DD0BD87EEFE3E5; mtime=2026-06-12T04:41:09.7492553Z; size=143","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\partitioned\1\state.meta",".meta","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=F69C725B15725DCF378FD02E47D2D95F6BDCE9D78ABE28BE92BBD0BCBD11A5BB; mtime=2026-06-12T04:41:09.7492553Z; size=332","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\synthesized\1\chip.chip.cdb",".cdb","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=E0BA031DDF6545C4C3CEA2A10DCFC37A503A7824FF783615B9CCFA01482C7BFA; mtime=2026-06-12T04:41:12.0462600Z; size=8372","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\synthesized\1\chip.model",".model","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=C90A10AE50AF273E425E56671DC766BB3EB7BC32EEEA3BA44FD2DF582F3FEAD7; mtime=2026-06-12T04:41:12.0616675Z; size=144","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Constraint and Configuration",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\synthesized\1\constraints.cdb",".cdb","Toolchain artifact","configuration integrity; design intent traceability","sha256=2845850C51846C140AC85CDCB2952469DC395E234036EC55D16EA8DCEF55A94D; mtime=2026-06-12T04:41:12.0462600Z; size=231","CFG-1;CFG-2;CFG-3"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Constraint and Configuration",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\synthesized\1\constraints.model",".model","Toolchain artifact","configuration integrity; design intent traceability","sha256=7F0255A2FE1B1445042196657C10A3601D9D6CA2DB3A2002519FDC5DC8856D85; mtime=2026-06-12T04:41:12.0462600Z; size=146","CFG-1;CFG-2;CFG-3"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\synthesized\1\names.hdb",".hdb","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=E0E3D864811E5266F76DBC9760E9604E266624FE8CE8F94D511818E24F92F0CB; mtime=2026-06-12T04:41:12.0306272Z; size=13314","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\synthesized\1\names.model",".model","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=6614CADD09557BAC5655FB6F3B4F3588684F32665CFB9D66A5FBDCE6B9448904; mtime=2026-06-12T04:41:12.0462600Z; size=143","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\_flat\26.1.0\synthesized\1\state.meta",".meta","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=354BF7C2D357D7A0BDA8BD617042C3A76231C75F449B675E01ACBB46FEF9D24D; mtime=2026-06-12T04:41:12.0306272Z; size=375","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\root_partition\26.1.0\final\1\.cache\cyclone10gx_io_sim_cache.900mv_ff_0c_fast.hsd",".hsd","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=63C9489DAFDEFCA05CD70BFAF1293EBB9A1B546ABB8E92FC1FBF1E23C84200C5; mtime=2026-06-12T04:42:10.4211444Z; size=724572","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\root_partition\26.1.0\final\1\.cache\cyclone10gx_io_sim_cache.900mv_ff_100c_fast.hsd",".hsd","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=D7115819DB3674275AB037961C00D55C1B34A25B072DA3E01521E4EE261102C5; mtime=2026-06-12T04:42:17.7337118Z; size=719249","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\root_partition\26.1.0\final\1\.cache\cyclone10gx_io_sim_cache.900mv_ii_0c_slow.hsd",".hsd","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=D954A9BEA2ED6F7A2F1067DAE11B53C7E94A7E8D0F60749495FCF66C915C2F2B; mtime=2026-06-12T04:42:10.0772916Z; size=715749","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\root_partition\26.1.0\final\1\.cache\cyclone10gx_io_sim_cache.900mv_ii_100c_slow.hsd",".hsd","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=17D3A527774F10E8E73AD24B05461EEE4BA98F3E295A5033CACDDFDF7333A267; mtime=2026-06-12T04:42:17.8899168Z; size=725885","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\root_partition\26.1.0\final\1\cyclone10gx_io_sim_cache.900mv_ff_0c_fast.model",".model","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=6F86E2F18581EF3A56241CBD6EA4F21468F4A0AD38DA9BDC68B97CE868D39A0F; mtime=2026-06-12T04:42:10.4369137Z; size=139","TRN-1;TRN-2;TRN-3;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Synthesis/Implementation Transformation",".\results\quartus\project_b\qdb\_compiler\top_b\root_partition\26.1.0\final\1\cyclone10gx_io_sim_cache.900mv_ff_100c_fast.model",".model","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=4611264C29C2AC3D87F379F756589901388270A169573224DE0D7137B84CC6AE; mtime=2026-06-12T04:42:17.7337118Z; size=139","TRN-1;TRN-2;TRN-3;RPT-2"
